Gen 1-2 menu icons: Emi Monserrate, Chamber, Solo993, Blue Emerald, Lake, Neslug, Pikachu25, Ryta
Gen 3 menu icons: EeVeeEe1999, MegamanOmega, bloodless
Gen 5-7 menu icons: EeVeeEe1999
Rowlet menu icon: Emi Monserrate

Team Rocket Executive overworld & battle sprites: JaceDeane
Blaine, Blue, Bugsy, Chuck, Clair, Janine, Lt. Surge, Morty, & Whitney battle sprites: Solo993
Karen & Pryce battle sprites: Bronzeswagger
Twins battle sprite: MajinCubyan
Female scientist battle sprite: Solo993
Farfetch'd overworld sprite: Rangi

Kanto badges: DarioEMeloD

- NAME -                    -FRONT-                            -BACK-
Mankey                      Game Freak                        Game Freak
Primeape                    Game Freak                        Game Freak
Growlithe (Kantonian)       Game Freak                        Game Freak
Growlithe (Hisuian)         cure_pixel                        utytft
Arcanine (Kantonian)        Game Freak                        Game Freak
Arcanine (Hisuian)          cure_pixel                        utytft
Abra                        Game Freak                        Game Freak
Kadabra                     Game Freak                        Game Freak
Alakazam                    Game Freak                        Game Freak
Machop                      Game Freak                        Game Freak
Machoke                     Game Freak                        Game Freak
Machamp                     Game Freak                        Game Freak
Bellsprout                  Game Freak                        Game Freak
Weepinbell                  Game Freak                        Game Freak
Victreebel                  Game Freak                        Game Freak
Tentacool                   Game Freak                        Game Freak
Tentacruel                  Game Freak                        Game Freak
Geodude (Kantonian)         Game Freak                        Game Freak
Geodude (Alolan)            Blue Emerald, solo993, Chamber, Lake, Neslug, Pikachu25, metalflygon08, JaceDeane, & flempa (Polished Crystal)
Graveler (Kantonian)        Game Freak                        Game Freak
Graveler (Alolan)           Blue Emerald, solo993, Chamber, Lake, Neslug, Pikachu25, metalflygon08, JaceDeane, & flempa (Polished Crystal)
Golem (Kantonian)           Game Freak                        Game Freak
Golem (Alolan)              Blue Emerald, solo993, Chamber, Lake, Neslug, Pikachu25, metalflygon08, JaceDeane, & flempa (Polished Crystal)
Ponyta (Kantonian)          Game Freak                        Game Freak
Ponyta (Galarian)           Blue Emerald, solo993, Chamber, Lake, Neslug, Pikachu25, metalflygon08, JaceDeane, & flempa (Polished Crystal)
Rapidash (Kantonian)        Game Freak                        Game Freak
Rapidash (Galarian)         jushiicore                        utytft
Slowpoke (Kantonian)        Game Freak                        Game Freak
Slowpoke (Galarian)         Enderific                         Game Freak
Slowbro (Kantonian)         Game Freak                        Game Freak
Slowbro (Galarian)          Enderific                         Blue Emerald, solo993, Chamber, Lake, Neslug, Pikachu25, metalflygon08, JaceDeane, & flempa (Polished Crystal)
Magnemite                   Game Freak                        Game Freak
Magneton                    Game Freak                        Game Freak
Farfetch'd (Kantonian)      Game Freak                        Game Freak
Farfetch'd (Galarian)       SkidMarc25                        utytft
Doduo                       Game Freak                        Game Freak
Dodrio                      Game Freak                        Game Freak
Seel                        Game Freak                        Game Freak
Dewgong                     Game Freak                        Game Freak
Grimer (Kantonian)          Game Freak                        Game Freak
Muk (Kantonian)             Game Freak                        Game Freak
Gastly                      Game Freak                        Game Freak
Haunter                     Game Freak                        Game Freak
Gengar                      Game Freak                        Game Freak
Onix                        Game Freak                        Game Freak
Drowzee                     Game Freak                        Game Freak
Hypno                       Game Freak                        Game Freak
Krabby                      Game Freak                        Game Freak
Kingler                     Game Freak                        Game Freak
Exeggcute                   Game Freak                        Game Freak
Exeggutor (Kantonian)       Game Freak                        Game Freak
Exeggutor (Alolan)          SkidMarc25                        Pia Carrot
Cubone                      Game Freak                        Game Freak
Marowak (Kantonian)         Game Freak                        Game Freak
Marowak (Alolan)            SkidMarc25                        Blue Emerald, solo993, Chamber, Lake, Neslug, Pikachu25, metalflygon08, JaceDeane, & flempa (Polished Crystal)
Lickitung                   Game Freak                        Game Freak
Koffing                     Game Freak                        Game Freak
Weezing (Kantonian)         Game Freak                        Game Freak
Weezing (Galarian)          Pia Carrot                        French Cyndaquil
Rhyhorn                     Game Freak                        Game Freak
Rhydon                      Game Freak                        Game Freak
Chansey                     Matdemo159                        Game Freak
Tangela                     Game Freak                        Game Freak
Kangaskhan                  Game Freak                        Game Freak
Horsea                      Game Freak                        Game Freak
Seadra                      Game Freak                        Game Freak
Goldeen                     Game Freak                        Game Freak
Seaking                     Game Freak                        Game Freak
Staryu                      Game Freak                        Game Freak
Starmie                     Game Freak                        Game Freak
Mr. Mime (Kantonian)        Game Freak                        Game Freak
Mr. Mime (Galarian)         utytft                            utytft
Scyther                     Game Freak                        Game Freak
Electabuzz                  Game Freak                        Game Freak
Magmar                      Game Freak                        Game Freak
Pinsir                      Game Freak                        Game Freak
Tauros (Kantonian)          Game Freak                        Game Freak
Magikarp                    Game Freak                        Game Freak
Gyarados                    Game Freak                        Game Freak
Lapras                      Game Freak                        Game Freak
Ditto                       Game Freak                        Game Freak
Eevee                       Game Freak                        Game Freak
Vaporeon                    Game Freak                        Game Freak
Jolteon                     Game Freak                        Game Freak
Flareon                     Game Freak                        Game Freak
Porygon                     Game Freak                        Game Freak
Omanyte                     Game Freak                        Game Freak
Omastar                     Game Freak                        Game Freak
Kabuto                      Game Freak                        Game Freak
Kabutops                    Game Freak                        Game Freak
Aerodactyl                  Game Freak                        Game Freak
Snorlax                     Game Freak                        Game Freak
Articuno (Kantonian)        Game Freak                        Game Freak
Articuno (Galarian)         Enderific                         Game Freak
Zapdos (Kantonian)          Game Freak                        Game Freak
Zapdos (Galarian)           yoellistrator                     Game Freak
Moltres (Kantonian)         Game Freak                        Game Freak
Moltres (Galarian)          yoellistrator                     yoellistrator
Dratini                     Game Freak                        Game Freak
Dragonair                   Game Freak                        Game Freak
Dragonite                   Game Freak                        Game Freak
Mewtwo                      Game Freak                        Game Freak
Mew                         JaceDeane, LouLilie               Game Freak
Beta fire bear evo          Rool, Smalls, Pik, Bencc, Nuuk, Scarlax, Sam the Salmon & Souppotato
Beta Tangela pre-evo        Game Freak                        Game Freak
Beta Marill evo             Game Freak                        Game Freak
Beta fish                   Rool, Smalls, Pik, Bencc, Nuuk, Scarlax, Sam the Salmon & Souppotato
Beta shark                  Pokets3                           marcstuts0842
Beta Meowth pre-evo         Game Freak                        Game Freak
Beta bell cat 1             Rool, Smalls, Pik, Bencc, Nuuk, Scarlax, Sam the Salmon & Souppotato
Beta bell cat 2             Rool, Smalls, Pik, Bencc, Nuuk, Scarlax, Sam the Salmon & Souppotato
Beta electric tiger 1       Rool, Smalls, Pik, Bencc, Nuuk, Scarlax, Sam the Salmon & Souppotato
Beta electric tiger 2       Rool, Smalls, Pik, Bencc, Nuuk, Scarlax, Sam the Salmon & Souppotato
Beta Farfetch'd evo         Menyu, Pia Carrot                 Game Freak
Beta doll                   Rool, Smalls, Pik, Bencc, Nuuk, Scarlax, Sam the Salmon & Souppotato
Beta panda                  Rool, Smalls, Pik, Bencc, Nuuk, Scarlax, Sam the Salmon & Souppotato
Beta ice wolf 1             Rool, Smalls, Pik, Bencc, Nuuk, Scarlax, Sam the Salmon & Souppotato
Beta ice wolf 2             marcstuts0842                     marcstuts0842
Beta weasel                 Rool, Smalls, Pik, Bencc, Nuuk, Scarlax, Sam the Salmon & Souppotato
Chikorita                   Game Freak                        Game Freak
Bayleef                     Game Freak                        Game Freak
Meganium                    Game Freak                        Game Freak
Cyndaquil                   Matdemo159                        Game Freak
Quilava                     Game Freak                        Game Freak
Typhlosion (Johtonian)      Game Freak                        Game Freak
Typhlosion (Hisuian)        Pokets3                           utytft
Totodile                    Game Freak                        Game Freak
Croconaw                    Game Freak                        Game Freak
Feraligatr                  Game Freak                        Game Freak
Sentret                     Game Freak                        Game Freak
Furret                      Game Freak                        Game Freak
Hoothoot                    Game Freak                        Game Freak
Noctowl                     Game Freak                        Game Freak
Ledyba                      Game Freak                        Game Freak
Ledian                      Game Freak                        Game Freak
Spinarak                    Game Freak                        Game Freak
Ariados                     Matdemo159                        Game Freak
Crobat                      Game Freak                        Game Freak
Chinchou                    Game Freak                        Game Freak
Lanturn                     Game Freak                        Game Freak
Pichu                       Game Freak                        Game Freak
Cleffa                      Game Freak                        Game Freak
Igglybuff                   Matdemo159                        Game Freak
Togepi                      Game Freak                        Game Freak
Togetic                     Game Freak                        Game Freak
Natu                        Game Freak                        Game Freak
Xatu                        Game Freak                        Game Freak
Mareep                      Game Freak                        Game Freak
Flaaffy                     Game Freak                        Game Freak
Ampharos                    Game Freak                        Game Freak
Bellossom                   Game Freak                        Game Freak
Marill                      Game Freak                        Game Freak
Beta Marill                 Game Freak                        Game Freak
Azumarill                   Game Freak                        Game Freak
Sudowoodo                   Game Freak                        Game Freak
Hoppip                      Game Freak                        Game Freak
Beta Hoppip                 Rool, Smalls, Pik, Bencc, Nuuk, Scarlax, Sam the Salmon & Souppotato
Skiploom                    Game Freak                        Game Freak
Beta Skiploom               Rool, Smalls, Pik, Bencc, Nuuk, Scarlax, Sam the Salmon & Souppotato
Jumpluff                    Game Freak                        Game Freak
Beta Jumpluff               Rool, Smalls, Pik, Bencc, Nuuk, Scarlax, Sam the Salmon & Souppotato
Sunkern                     Game Freak                        Game Freak
Sunflora                    Game Freak                        Game Freak
Yanma                       Game Freak                        Game Freak
Wooper (Johtonian)          Game Freak                        Game Freak
Wooper (Paldean)            Pokets3                           AshnixsLaw
Quagsire                    Game Freak                        Game Freak
Espeon                      Game Freak                        Game Freak
Umbreon                     Game Freak                        Game Freak
Murkrow                     Game Freak                        Game Freak
Slowking (Johtonian)        Game Freak                        Game Freak
Slowking (Galarian)         Blue Emerald, solo993, Chamber, Lake, Neslug, Pikachu25, metalflygon08, JaceDeane, & flempa (Polished Crystal)
Misdreavus                  Game Freak                        Game Freak
Unown                       Game Freak                        Game Freak
Wobbuffet                   Game Freak                        Game Freak
Girafarig                   Game Freak                        Game Freak
Pineco                      Game Freak                        Game Freak
Forretress                  Game Freak                        Game Freak
Dunsparce                   Game Freak                        Game Freak
Gligar                      Game Freak                        Game Freak
Steelix                     Game Freak                        Game Freak
Snubbull                    Game Freak                        Game Freak
Granbull                    Game Freak                        Game Freak
Qwilfish (Johtonian)        Game Freak                        Game Freak
Qwilfish (Hisuian)          utytft                            utytft
Scizor                      Game Freak                        Game Freak
Shuckle                     Game Freak                        Game Freak
Heracross                   Game Freak                        Game Freak
Sneasel (Johtonian)         Game Freak                        Game Freak
Teddiursa                   Game Freak                        Game Freak
Beta Teddiursa              Rool, Smalls, Pik, Bencc, Nuuk, Scarlax, Sam the Salmon & Souppotato
Ursaring                    Game Freak                        Game Freak
Slugma                      Game Freak                        Game Freak
Magcargo                    Game Freak                        Game Freak
Swinub                      Game Freak                        Game Freak
Piloswine                   Game Freak                        Game Freak
Corsola (Johtonian)         Game Freak                        Game Freak
Corsola (Galarian)          utytft                            utytft
Remoraid                    Game Freak                        Game Freak
Octillery                   Game Freak                        Game Freak
Beta Octillery              Rool, Smalls, Pik, Bencc, Nuuk, Scarlax, Sam the Salmon & Souppotato
Delibird                    Game Freak                        Game Freak
Mantine                     Game Freak                        Game Freak
Skarmory                    Game Freak                        Game Freak
Houndour                    Game Freak                        Game Freak
Houndoom                    Game Freak                        Game Freak
Kingdra                     Game Freak                        Game Freak
Phanpy                      Game Freak                        Game Freak
Donphan                     Game Freak                        Game Freak
Porygon2                    Game Freak                        Game Freak
Stantler                    Game Freak                        Game Freak
Smeargle                    BynineB                           Game Freak
Elekid                      Game Freak                        Game Freak
Magby                       Game Freak                        Game Freak
Miltank                     Game Freak                        Game Freak
Blissey                     Game Freak                        Game Freak
Raikou                      Game Freak                        Game Freak
Entei                       Game Freak                        Game Freak
Suicune                     Game Freak                        Game Freak
Larvitar                    Game Freak                        Game Freak
Pupitar                     Game Freak                        Game Freak
Tyranitar                   Game Freak                        Game Freak
Lugia                       Game Freak                        Game Freak
Ho-oh                       Game Freak                        Game Freak
Celebi                      Game Freak                        Game Freak
Treecko                     Blue Emerald                      bloodless
Grovyle                     Blue Emerald                      bloodless
Sceptile                    Blue Emerald                      bloodless
Torchic                     Blue Emerald                      bloodless
Combusken                   Blue Emerald                      bloodless
Blaziken                    Blue Emerald                      bloodless
Mudkip                      Blue Emerald                      bloodless
Marshtomp                   Blue Emerald                      bloodless
Swampert                    Blue Emerald                      bloodless
Poochyena                   Blue Emerald                      bloodless
Mightyena                   Blue Emerald                      bloodless
Zigzagoon (Hoennian)        Blue Emerald                      bloodless
Zigzagoon (Galarian)        EeVeeEe1999                       bloodless
Linoone (Hoennian)          Blue Emerald                      bloodless
Linoone (Galarian)          EeVeeEe1999                       bloodless
Lotad                       COMBOY                            COMBOY
Lombre                      Blue Emerald                      bloodless
Ludicolo                    Blue Emerald                      bloodless
Seedot                      Blue Emerald                      bloodless
Nuzleaf                     Blue Emerald, COMBOY              bloodless
Shiftry                     Blue Emerald                      COMBOY
Taillow                     Blue Emerald                      bloodless
Swellow                     Blue Emerald                      bloodless
Wingull                     Blue Emerald                      bloodless
Pelipper                    Blue Emerald                      bloodless
Ralts                       Blue Emerald                      bloodless
Kirlia                      Blue Emerald                      bloodless
Gardevoir                   COMBOY                            bloodless
Surskit                     Blue Emerald                      bloodless
Masquerain                  Blue Emerald                      bloodless
Shroomish                   Blue Emerald                      bloodless
Breloom                     Blue Emerald                      bloodless
Whismur                     Blue Emerald                      bloodless
Loudred                     Blue Emerald                      bloodless
Exploud                     Blue Emerald                      bloodless
Makuhita                    Blue Emerald                      bloodless
Hariyama                    Blue Emerald                      bloodless
Azurill                     Blue Emerald                      bloodless
Nosepass                    Blue Emerald                      bloodless
Skitty                      Blue Emerald                      COMBOY
Delcatty                    COMBOY                            bloodless
Sableye                     Blue Emerald                      bloodless
Mawile                      Blue Emerald                      COMBOY
Aron                        Blue Emerald                      bloodless
Lairon                      Blue Emerald                      bloodless
Aggron                      Blue Emerald                      bloodless
Meditite                    Blue Emerald                      bloodless
Medicham                    Blue Emerald                      bloodless
Electrike                   Blue Emerald                      bloodless
Manectric                   Blue Emerald                      bloodless
Plusle                      COMBOY                            Game Freak
Minun                       COMBOY                            Game Freak
Roselia                     Blue Emerald                      bloodless
Gulpin                      Blue Emerald                      COMBOY
Swalot                      Blue Emerald                      bloodless
Carvanha                    Blue Emerald                      bloodless
Sharpedo                    Blue Emerald                      bloodless
Wailmer                     Blue Emerald                      bloodless
Wailord                     Blue Emerald                      bloodless
Numel                       Blue Emerald                      bloodless
Camerupt                    COMBOY                            COMBOY
Torkoal                     Blue Emerald                      bloodless
Spoink                      Blue Emerald                      bloodless
Grumpig                     Blue Emerald                      bloodless
Trapinch                    Blue Emerald                      bloodless
Vibrava                     Blue Emerald                      bloodless
Flygon                      Blue Emerald                      bloodless
Cacnea                      Blue Emerald                      bloodless
Cacturne                    Blue Emerald                      bloodless
Swablu                      Blue Emerald                      bloodless
Altaria                     Blue Emerald                      bloodless
Zangoose                    Blue Emerald                      bloodless
Seviper                     Blue Emerald                      bloodless
Lunatone                    Blue Emerald                      bloodless
Solrock                     Blue Emerald                      bloodless
Barboach                    Blue Emerald                      bloodless
Whiscash                    Blue Emerald                      bloodless
Corphish                    Blue Emerald                      bloodless
Crawdaunt                   Blue Emerald                      bloodless
Baltoy                      Blue Emerald                      bloodless
Claydol                     Blue Emerald                      bloodless
Lileep                      Blue Emerald                      bloodless
Cradily                     Blue Emerald                      bloodless
Anorith                     Blue Emerald                      bloodless
Armaldo                     Blue Emerald                      bloodless
Feebas                      lakeofdance                       lakeofdance
Milotic                     Blue Emerald                      bloodless
Shuppet                     Blue Emerald                      bloodless
Banette                     Blue Emerald                      bloodless
Duskull                     Game Freak                        bloodless
Dusclops                    Blue Emerald                      bloodless
Tropius                     Blue Emerald                      bloodless
Chimecho                    Blue Emerald                      bloodless
Absol                       Bummer                            COMBOY
Wynaut                      Blue Emerald                      bloodless
Snorunt                     Blue Emerald                      bloodless
Glalie                      Blue Emerald                      bloodless
Spheal                      Matdemo159                        bloodless
Sealeo                      Blue Emerald                      bloodless
Walrein                     COMBOY                            bloodless
Clamperl                    Blue Emerald                      bloodless
Huntail                     COMBOY                            COMBOY
Gorebyss                    Blue Emerald                      bloodless
Relicanth                   Blue Emerald                      bloodless
Luvdisc                     COMBOY                            COMBOY
Bagon                       Blue Emerald                      bloodless
Shelgon                     QuilChess                         bloodless
Salamence                   com3tiin                          bloodless
Beldum                      COMBOY                            COMBOY
Metang                      COMBOY                            COMBOY
Metagross                   Blue Emerald                      bloodless
Regirock                    Blue Emerald                      bloodless
Regice                      Blue Emerald                      bloodless
Registeel                   Blue Emerald                      bloodless
Latias                      Blue Emerald                      bloodless
Latios                      Blue Emerald                      bloodless
Kyogre                      Blue Emerald                      bloodless
Groudon                     Blue Emerald                      bloodless
Rayquaza                    Blue Emerald                      bloodless
Jirachi                     Blue Emerald                      bloodless
Deoxys                      Blue Emerald                      bloodless
Turtwig                     bloodless                         bloodless
Grotle                      bloodless                         bloodless
Torterra                    Bummer                            bloodless
Chimchar                    Pokekoks                          Pokekoks
Monferno                    Pokekoks                          Pokekoks
Infernape                   Pokekoks                          Pokekoks
Piplup                      Game Freak                        bloodless
Prinplup                    bloodless                         bloodless
Empoleon                    COMBOY                            bloodless
Starly                      COMBOY                            bloodless
Staravia                    bloodless                         bloodless
Staraptor                   bloodless                         bloodless
Bidoof                      bloodless                         bloodless
Bibarel                     COMBOY                            bloodless
Shinx                       bloodless                         bloodless
Luxio                       bloodless                         bloodless
Luxray                      bloodless                         bloodless
Budew                       bloodless                         COMBOY
Roserade                    bloodless                         COMBOY
Cranidos                    bloodless                         bloodless
Rampardos                   bloodless                         bloodless
Shieldon                    bloodless                         bloodless
Bastiodon                   bloodless                         bloodless
Burmy                       bloodless                         bloodless
Wormadam                    bloodless                         bloodless
Mothim                      bloodless                         bloodless
Combee                      bloodless                         bloodless
Vespiquen                   bloodless                         bloodless
Pachirisu                   bloodless                         COMBOY
Buizel                      bloodless                         bloodless
Floatzel                    bloodless                         bloodless
Cherubi                     bloodless                         bloodless
Cherrim (Overcast)          bloodless                         COMBOY
Cherrim (Sunshine)          bloodless                         bloodless
Shellos (West)              bloodless                         bloodless
Shellos (East)              COMBOY                            bloodless, Linnie
Gastrodon (West)            bloodless                         bloodless
Gastrodon (East)            COMBOY                            COMBOY
Drifloon                    Matdemo159                        COMBOY
Drifblim                    bloodless                         COMBOY
Buneary                     bloodless                         bloodless
Lopunny                     bloodless                         bloodless
Mismagius                   bloodless                         bloodless
Honchkrow                   bloodless                         metalflygon08
Glameow                     COMBOY                            COMBOY
Purugly                     bloodless                         COMBOY
Chingling                   bloodless                         bloodless
Stunky                      bloodless                         COMBOY
Skuntank                    bloodless                         COMBOY
Bronzor                     bloodless                         bloodless
Bronzong                    bloodless                         bloodless
Bonsly                      bloodless                         COMBOY
Mime Jr.                    Chaos Rush                        Chaos Rush
Happiny                     COMBOY                            COMBOY
Chatot                      bloodless                         COMBOY
Spiritomb                   bloodless                         bloodless
Gible                       bloodless                         bloodless
Gabite                      bloodless                         bloodless
Garchomp                    bloodless                         bloodless
Munchlax                    bloodless                         bloodless
Riolu                       bloodless                         bloodless
Lucario                     bloodless                         bloodless
Hippopotas                  bloodless                         COMBOY
Hippowdon                   bloodless                         COMBOY
Skorupi                     bloodless                         bloodless
Drapion                     bloodless                         bloodless
Croagunk                    bloodless                         bloodless
Toxicroak                   bloodless                         bloodless
Carnivine                   bloodless                         COMBOY
Finneon                     bloodless                         COMBOY
Lumineon                    bloodless                         COMBOY
Mantyke                     COMBOY                            COMBOY
Snover                      bloodless                         bloodless
Abomasnow                   bloodless                         COMBOY
Weavile                     bloodless                         bloodless
Magnezone                   Solo993                           bloodless
Lickilicky                  bloodless                         bloodless
Rhyperior                   SkidMarc25                        Koolboyman
Tangrowth                   COMBOY                            bloodless
Electivire                  amvz08                            Chaos Rush
Magmortar                   COMBOY                            COMBOY
Togekiss                    Kreestanala                       COMBOY
Yanmega                     bloodless                         COMBOY
Leafeon                     bloodless                         bloodless
Glaceon                     bloodless                         bloodless
Gliscor                     bloodless                         bloodless
Mamoswine                   Bummer                            bloodless
Porygon-Z                   bloodless                         bloodless
Gallade                     bloodless                         bloodless
Probopass                   Neslug                            bloodless
Dusknoir                    Game Freak                        COMBOY
Froslass                    bloodless                         bloodless
Rotom                       bloodless                         COMBOY
Uxie                        bloodless                         Game Freak
Mesprit                     bloodless                         Game Freak
Azelf                       bloodless                         Game Freak
Dialga                      bloodless                         COMBOY
Palkia                      bloodless                         COMBOY
Regigigas                   bloodless                         COMBOY
Giratina                    COMBOY                            COMBOY
Cresselia                   bloodless                         bloodless
Darkrai                     bloodless                         COMBOY
Shaymin                     bloodless, COMBOY                 COMBOY
Arceus                      bloodless                         bloodless
Snivy                       EeVeeEe1999                       COMBOY
Servine                     EeVeeEe1999                       COMBOY
Serperior                   EeVeeEe1999                       COMBOY
Tepig                       Jphyper                           COMBOY
Pignite                     yoellistrator                     COMBOY
Emboar                      yoellistrator                     COMBOY
Oshawott                    bloodless                         COMBOY
Dewott                      bloodless                         COMBOY
Samurott (Unovan)           N-Kin                             COMBOY
Lillipup                    Game Freak                        Pokekoks
Herdier                     Pokekoks                          Pokekoks
Stoutland                   Pokekoks                          Pokekoks
Purrloin                    Pokekoks                          Pokekoks
Liepard                     EeVeeEe1999                       Pokekoks
Munna                       Pokekoks                          Pokekoks
Musharna                    G0LD Z!                           G0LD Z!
Roggenrola                  Bummer                            COMBOY
Boldore                     Chris2Balls                       COMBOY
Gigalith                    lakeofdance                       lakeofdance
Woobat                      Gors                              COMBOY
Swoobat                     ubasuteyama                       COMBOY
Audino                      Wisgarus                          Wisgarus
Timburr                     bloodless                         COMBOY
Gurdurr                     Nicktendo DS                      Bummer
Conkeldurr                  Bummer                            Bummer
Sewaddle                    COMBOY                            COMBOY
Swadloon                    COMBOY                            COMBOY
Leavanny                    COMBOY                            COMBOY
Venipede                    Bummer                            Bummer
Whirlipede                  Bummer                            Bummer
Scolipede                   Bummer                            COMBOY
Cottonee                    bloodless                         COMBOY
Whimsicott                  Bummer                            COMBOY
Petilil                     Jphyper                           COMBOY
Lilligant (Unovan)          COMBOY                            COMBOY
Basculin                    Neslug                            COMBOY
Sandile                     lakeofdance                       COMBOY
Krokorok                    YumeYukimenokoTsuki               COMBOY
Krookodile                  lakeofdance                       lakeofdance
Darumaka (Unovan)           Neslug                            COMBOY
Darumaka (Galarian)         EeVeeEe1999                       Pokekoks
Darmanitan (Unovan)         Neslug                            G0LD Z!
Darmanitan (Galarian)       EeVeeEe1999                       leParagon
Maractus                    COMBOY                            COMBOY
Dwebble                     bloodless                         COMBOY
Crustle                     bloodless                         COMBOY
Scraggy                     Pokekoks                          Pokekoks
Scrafty                     Pokekoks                          Pokekoks
Sigilyph                    Bummer                            COMBOY
Yamask (Galarian)           Pia Carrot                        Pokekoks
Tirtouga                    COMBOY                            COMBOY
Carracosta                  Chris2Balls                       COMBOY
Archen                      lakeofdance                       COMBOY
Archeops                    Jphyper                           COMBOY
Zorua (Unovan)              Bummer                            COMBOY
Zoroark (Unovan)            Bummer                            Bummer
Solosis                     Game Freak                        COMBOY
Duosion                     EeVeeEe1999                       lakeofdance
Reuniclus                   EeVeeEe1999                       Game Freak
Deerling                    Bummer                            COMBOY
Sawsbuck                    Maddalena                         COMBOY
Frillish (Female)           Game Freak                        COMBOY
Frillish (Male)             Pokekoks                          Pokekoks
Jellicent (Female)          COMBOY                            COMBOY
Jellicent (Male)            Pokekoks                          Pokekoks
Joltik                      COMBOY                            COMBOY
Galvantula                  COMBOY                            COMBOY
Ferroseed                   Bummer                            Bummer
Ferrothorn                  Bummer                            Bummer
Tynamo                      Bummer                            COMBOY
Eelektrik                   Bummer                            COMBOY
Eelektross                  Bummer                            COMBOY
Elgyem                      Pokekoks                          Pokekoks
Beheeyem                    Pokekoks                          Pokekoks
Litwick                     Bummer                            Bummer
Lampent                     Bummer                            Bummer
Chandelure                  Bummer                            Bummer
Axew                        Bummer                            Bummer
Fraxure                     Bummer                            Bummer
Haxorus                     Bummer                            Bummer
Cubchoo                     EeVeeEe1999                       COMBOY
Beartic                     COMBOY                            COMBOY
Stunfisk (Unovan)           Bummer                            Bummer
Mienfoo                     COMBOY                            COMBOY
Mienshao                    COMBOY                            COMBOY
Druddigon                   gmerc                             Bummer
Golett                      Bummer                            Bummer
Golurk                      Bummer                            Bummer
Pawniard                    COMBOY                            COMBOY
Bisharp                     Bummer                            Bummer
